RA,DEC,Vmag
55.197636,-2.332684,6.96
55.203423,-81.78913,8.65
55.205326,6.1045656,12.27
55.20529,-27.969759,7.14
55.206356,31.82629,8.78
55.206882,39.122425,9.84
55.207596,41.841713,8.15
55.20906,39.117146,7.85
55.215225,-12.615779,7.59
55.227882,2.059972,9.97
55.231136,43.701992,7.93
55.232742,-31.870653,8.18
55.225086,89.10488,8.1
55.233753,41.188793,7.17
55.235325,49.506165,9.77
55.236317,-32.103138,9.2
55.2459,44.92516,8.19
55.261974,54.00112,9.34
,,8.96
55.277218,-63.88705,8.87
55.28274,37.580196,5.55
55.289215,-40.76841,7.43
55.290207,-5.287865,8.29
